DiaMesAno,HoraMinutosSegundos,Longitude,Latitude,Velocidade,Altitude,Satelites,AccX,AccY
14/01/2016,19-23-32,0,0,0,0,0,0.31,-0.08
14/01/2016,19-23-32,0,0,0,0,0,-0.08,-0.02
14/01/2016,19-23-32,0,0,0,0,0,-0.24,0.2
14/01/2016,19-23-32,0,0,0,0,0,0.36,-0.04
14/01/2016,19-23-34,0,0,0,0,0,0.16,0.14
14/01/2016,19-23-34,0,0,0,0,0,0.24,-0.29
14/01/2016,19-23-34,0,0,0,0,0,0.16,-0.25
14/01/2016,19-23-34,0,0,0,0,0,0.21,0.46
14/01/2016,19-23-34,0,0,0,0,0,0.04,-0.2
14/01/2016,19-23-34,0,0,0,0,0,-0.07,0.02
14/01/2016,19-23-34,0,0,0,0,0,0.02,0.13
14/01/2016,19-23-34,0,0,0,0,0,-0.06,0.17
14/01/2016,19-23-34,0,0,0,0,0,-0.13,0.08
14/01/2016,19-23-34,0,0,0,0,0,-0.59,0.29
14/01/2016,19-23-35,-34.85184,-7.14197,21.98,0,0,0.05,-0.23
14/01/2016,19-23-35,-34.85184,-7.14197,21.98,0,0,0.06,-0.27
14/01/2016,19-23-35,-34.85184,-7.14197,21.98,0,0,-0.07,-0.7
14/01/2016,19-23-35,-34.85184,-7.14199,21.98,243,6,-0.06,1.04
14/01/2016,19-23-35,-34.85184,-7.14199,21.98,243,6,-0.54,-0.3
14/01/2016,19-23-35,-34.85184,-7.14199,21.98,243,6,0.08,-0.39
14/01/2016,19-23-35,-34.85184,-7.14199,21.98,243,6,0.68,0.54
14/01/2016,19-23-36,-34.85057,-7.14109,23.72,243,6,-0.02,-0.29
14/01/2016,19-23-36,-34.85057,-7.14109,23.72,243,6,0.14,-0.26
14/01/2016,19-23-36,-34.85058,-7.14111,23.85,243,6,0.36,0.01
14/01/2016,19-23-36,-34.85058,-7.14111,23.85,243,6,-0.07,0.45
14/01/2016,19-23-36,-34.85058,-7.14112,23.85,43.4,6,0.04,0.11
14/01/2016,19-23-36,-34.85058,-7.14112,23.85,43.4,6,0.26,-0.78
14/01/2016,19-23-36,-34.85058,-7.14112,23.85,43.4,6,-0.01,0.2
14/01/2016,19-23-36,-34.85058,-7.14112,23.85,43.4,6,0.51,1.05
14/01/2016,19-23-37,-34.8506,-7.14115,25.28,43.4,6,0.21,0.11
14/01/2016,19-23-37,-34.8506,-7.14115,25.28,43.4,6,0.39,1.03
14/01/2016,19-23-37,-34.8506,-7.14115,25.28,43.4,6,0.17,0.09
14/01/2016,19-23-37,-34.8506,-7.14115,25.28,43.4,6,0.47,-0.21
14/01/2016,19-23-37,-34.8506,-7.14115,25.28,43.4,6,-0.08,0.73
14/01/2016,19-23-38,-34.85061,-7.1412,25.28,46.4,7,0.27,0.3
14/01/2016,19-23-38,-34.85061,-7.1412,25.28,46.4,7,0.32,0.23
14/01/2016,19-23-38,-34.85062,-7.14122,25.8,46.4,7,0.43,-0.37
14/01/2016,19-23-38,-34.85062,-7.14122,25.8,46.4,7,0.16,0.27
14/01/2016,19-23-38,-34.85062,-7.14122,25.8,46.4,7,0.19,-0.34
14/01/2016,19-23-38,-34.85062,-7.14122,25.8,46.4,7,0.29,-0.44
14/01/2016,19-23-38,-34.85061,-7.14126,26.04,46.4,7,0.28,0.31
14/01/2016,19-23-38,-34.85061,-7.14126,26.04,46.4,7,-0.15,0.35
14/01/2016,19-23-38,-34.85061,-7.14126,26.04,46.4,7,0.63,-0.06
14/01/2016,19-23-38,-34.85061,-7.14126,26.04,46.4,7,0.01,-0.4
14/01/2016,19-23-39,-34.8506,-7.1413,26.13,46.4,7,0.18,0.29
14/01/2016,19-23-39,-34.8506,-7.1413,26.13,46.4,7,0.02,0.11
14/01/2016,19-23-39,-34.85059,-7.14132,26.21,46.4,7,0.04,0.16
14/01/2016,19-23-39,-34.85059,-7.14132,26.21,46.4,7,-0.03,0.19
14/01/2016,19-23-39,-34.85059,-7.14132,26.21,46.4,7,0.32,0.03
14/01/2016,19-23-39,-34.85059,-7.14132,26.21,46.4,7,0.31,-0.2
14/01/2016,19-23-39,-34.85059,-7.14132,26.21,46.4,7,0.26,-0.11
14/01/2016,19-23-40,-34.85058,-7.14136,26.21,50,8,0.14,-0.86
14/01/2016,19-23-40,-34.85058,-7.14136,26.21,50,8,0.15,0.04
14/01/2016,19-23-40,-34.85058,-7.14136,26.21,50,8,0.32,-0.27
14/01/2016,19-23-40,-34.85058,-7.14136,26.21,50,8,-0.27,0.61
14/01/2016,19-23-40,-34.85058,-7.14136,26.21,50,8,0.43,0
14/01/2016,19-23-40,-34.85058,-7.14136,26.21,50,8,0.05,-0.12
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.13,-0.54
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.67,-0.73
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,-0.41,0.49
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.22,0.22
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.27,-0.06
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,-0.38,-0.21
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.58,-0.18
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.46,-0.66
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.69,-0.3
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,-0.28,-0.37
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,-0.16,0.22
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.85,0.11
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.38,-0.49
14/01/2016,19-23-41,-34.85055,-7.14141,26.21,51.8,7,0.6,-0.58
14/01/2016,19-23-43,-34.85049,-7.14154,26.21,54.2,10,-0.01,-0.28
14/01/2016,19-23-43,-34.85049,-7.14154,26.21,54.2,10,0.26,0.36
14/01/2016,19-23-43,-34.85049,-7.14154,26.21,54.2,10,0.62,0.02
14/01/2016,19-23-43,-34.85049,-7.14154,26.21,54.2,10,0.87,0.66
14/01/2016,19-23-43,-34.85049,-7.14154,26.21,54.2,10,0.41,0.68
14/01/2016,19-23-43,-34.85049,-7.14154,26.21,54.2,10,0.39,0.3
14/01/2016,19-23-44,-34.85047,-7.1416,26.21,54.6,8,0.84,0.05
14/01/2016,19-23-44,-34.85047,-7.1416,26.21,54.6,8,0.72,0.12
14/01/2016,19-23-44,-34.85047,-7.1416,26.21,54.6,8,1.09,0.41
14/01/2016,19-23-44,-34.85047,-7.1416,26.21,54.6,8,0.09,0.1
14/01/2016,19-23-44,-34.85047,-7.1416,26.21,54.6,8,0.17,0.44
14/01/2016,19-23-44,-34.85047,-7.1416,26.21,54.6,8,0.4,0.59
14/01/2016,19-23-45,-34.85045,-7.14165,26.21,55,8,-0.05,-0.16
14/01/2016,19-23-45,-34.85045,-7.14165,26.21,55,8,-0.01,0.34
14/01/2016,19-23-45,-34.85045,-7.14165,26.21,55,8,0.41,0.34
14/01/2016,19-23-45,-34.85045,-7.14165,26.21,55,8,0.78,0.06
14/01/2016,19-23-45,-34.85045,-7.14165,26.21,55,8,0.02,0.34
14/01/2016,19-23-45,-34.85045,-7.14165,26.21,55,8,0.38,-0.94
14/01/2016,19-23-46,-34.85044,-7.1417,26.21,55.5,12,0.17,-0.01
14/01/2016,19-23-46,-34.85044,-7.1417,26.21,55.5,12,0.43,0.14
14/01/2016,19-23-46,-34.85043,-7.14172,26.21,55.7,12,-0.06,-0.1
14/01/2016,19-23-46,-34.85043,-7.14172,26.21,55.7,12,0.29,0.21
14/01/2016,19-23-46,-34.85043,-7.14173,26.21,55.8,10,0.25,0.25
14/01/2016,19-23-46,-34.85043,-7.14173,26.21,55.8,10,0.53,-0.54
14/01/2016,19-23-47,-34.85042,-7.14175,26.21,55.9,9,0.46,0.24
14/01/2016,19-23-47,-34.85042,-7.14175,26.21,55.9,9,0.23,0.16
14/01/2016,19-23-47,-34.85042,-7.14175,26.21,55.9,9,0.16,0
14/01/2016,19-23-47,-34.85042,-7.14175,26.21,55.9,9,0.31,-0.26
14/01/2016,19-23-47,-34.85042,-7.14175,26.21,55.9,9,0.24,-0.27
14/01/2016,19-23-47,-34.85042,-7.14175,26.21,55.9,9,0.35,0.02
14/01/2016,19-23-48,-34.85041,-7.14179,26.21,56.2,9,0.75,0.53
14/01/2016,19-23-48,-34.85041,-7.14179,26.21,56.2,9,0.52,0.19
14/01/2016,19-23-48,-34.85041,-7.1418,26.21,56.3,9,0.67,-0.02
14/01/2016,19-23-48,-34.85041,-7.1418,26.21,56.3,9,0.43,0.18
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.46,0.06
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.39,0.08
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.46,0.09
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.35,0.14
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.47,-0.08
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.29,0.07
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.22,0.08
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.2,-0.07
14/01/2016,19-23-48,-34.85041,-7.14181,26.21,56.4,9,0.29,-0.04
14/01/2016,19-23-50,-34.8504,-7.14186,26.21,57,9,0.17,0.01
14/01/2016,19-23-50,-34.8504,-7.14186,26.21,57,9,0.31,-0.07
14/01/2016,19-23-50,-34.8504,-7.14186,26.21,57,9,0.24,-0.09
14/01/2016,19-23-50,-34.8504,-7.14186,26.21,57,9,0.36,-0.12
14/01/2016,19-23-50,-34.8504,-7.14187,6.78,57,9,0.55,0.03
14/01/2016,19-23-50,-34.8504,-7.14187,6.78,57,9,0.24,0.09
